,comments,clean_comments,prediction
5,Wann gibt es endlich den veganen Schinken aus den veganen Cordon Bleu separat? ,wann gibt endlich vegan schink vegan cordon bleu separat ?,1
9,Bitte vegan ,bitt vegan,1
13,"wenn ihr euch für Menschen, Tiere und die Umwelt engagiert, veganisiert ihr jetzt endlich alle restlichen Tierqualprodukte?  Mega Entwicklung. ","mensch , tier umwelt engagiert , veganisiert endlich restlich tierqualprodukt ? mega entwickl .",1
14,"mich würde es eher interessieren, wann ihr das mit diesem ""traditionellen tierischem"" endlich aufhört und statt dessen auf rein vegetarisch - allerdings noch besser - "" rein vegan"" umstellt, denn dass dies bei euch mehr Gewinn einfährt, wird ja durch die Zahlen immer wieder belegt und somit könnt ihr dann tatsächlich mehr für das Klima, unsere gemeinsame Umwelt, unseren Nachkommen und das sinnlose töten von Lebewesen tun","eher interessi , wann `` traditionell tierisch '' endlich aufhort statt rein vegetar - allerding bess - `` rein vegan '' umstellt , mehr gewinn einfahrt , ja zahl imm belegt somit konnt tatsach mehr klima , gemeinsam umwelt , nachkomm sinnlos tot lebewes tun",0
17,Warum nicht vegan? Wozu immer erst der Umweg über vegetarisch?,warum nicht vegan ? wozu imm erst umweg vegetar ?,1
18,"Ich mag Euch für veggie, aber feiern würde ich Euch für vegan. Bekommt Ihr das hin? ","mag veggi , feiern vegan . bekommt ?",1
21,"In einer veganen Variante wäre es mir lieber. Ich bin zwar nur Vegetarier, achte aber sehr auf die Haltungsweise bei Hühnereiern. Das hier verwendete Hühnereiweiß erfüllt jedenfalls nicht die Anforderungen an Bio-Verhältnisse. Daher scheidet dieses Produkt für mich - und sicher auf für andere - aus.","vegan variant war lieb . vegetari , acht sehr haltungsweis huhnerei . verwendet huhnereiweiss erfullt jedenfall nicht anforder bio-verhaltnis . dah scheidet produkt - sich - .",1
36,Einmal in vegan bitte ,vegan bitt,1
37,Warum gibts die net vegan ?  am besten mit Bifi Geschmack,warum gibt net vegan ? best bifi geschmack,1
40,"Leider nur vegetarisch. Wenn es vegan wäre ja, aber so No Go…","leid vegetar . vegan war ja , no go…",0
43,Die neuen veganen Snacks sind soooo lecker ,neu vegan snack soooo leck,1
51,Wird es den Snack auch in vegan geben?,snack vegan geb ?,1
60,ja klar steht da vegetarisch aber die gibt es auch in vegan.,ja klar steht vegetar gibt vegan .,1
64,die gibts in vegan ,gibt vegan,1
68,Bietet eure veganen Produkte doch mal fair produziert und nachhaltig hergestellt an. *Das* wäre Werbung wert.,bietet vegan produkt fair produziert nachhalt hergestellt . * * war werbung wert .,1
92,Es ist nicht leicht alles vegan herzustellen. Fleisch ist tausendmal schlimmer. Das hier ist schonmal ein riesen Schritt zur Besserung,nicht leicht vegan herzustell . fleisch tausendmal schlimm . schonmal ries schritt besser,1
111,"Ich find es super, dass ihr immer mehr vegane Produkte auf den Markt bringt ","find sup , imm mehr vegan produkt markt bringt",1
132,Die vegane Nuggets finde ich schmecken mir.,vegan nugget find schmeck .,1
133,"Beim Cordon Bleu merkt man natürlich schon das Soja, aber es schmeckt meiner Meinung nach genauso wie die Fleischvariante. Das Cordon Bleu vegan schmeckt meiner Meinung nach überragend lecker.","beim cordon bleu merkt natur schon soja , schmeckt meinung genauso fleischvariant . cordon bleu vegan schmeckt meinung uberrag leck .",1
139,ihr könnt veggie oder vegan echt am besten!!!!!,konnt veggi vegan echt best ! ! ! ! !,1
146,Wir lieben die veganen Nuggets von euch ,lieb vegan nugget,1
148,"Ich hoffe das ist keine dumme Frage. Die Nuggets schmecken echt super, aber gab es schon mal die Überlegung von veganen Dino-Niggets? ","hoff dumm frag . nugget schmeck echt sup , gab schon uberleg vegan dino-nigget ?",1
172,"Soooo mega legga , ich esse sehr gerne vegane Nuggets u die kleinen Frikadellen bitte weiter so vielleicht wäre ein Veganer Leberkäse mal ein Vorschlag","soooo mega legga , ess sehr gern vegan nugget u klein frikadell bitt vielleicht war vegan leberkas vorschlag",1
200,"wenn man alles boykottiert, was jetzt auf vegan setzt bzw umsteigt, macht das keinen Sinn. McDonalds wurde auch boykottiert, als sie den veganen burger brachten und jetzt öffneten sie sogar ganze komplett vegane Filialen. Also boykottierten bringt nichts. ","boykottiert , vegan setzt bzw umsteigt , macht sinn . mcdonald wurd boykottiert , vegan burg bracht offnet sogar ganz komplett vegan filial . boykottiert bringt nicht .",1
204,"du hast nur Angst, du könntest sie mögen und müsstest dann zugeben etwas veganes zu mögen ","hast angst , konnt mog musst zugeb vegan mog",1
214,"Da stimmt ich dir voll zu, aber die Kette ist doch viel länger. Wenn doch vegane Nahrung rein pflanzlich ist, kann diese doch vom Feld direkt in die Fabrik, während bei der Tierhaltung das Futter doch erstmal vom Feld, zur Haltung, zur Schlachtung und dann erst in die Fabrik kommt","stimmt voll , kett lang . vegan nahrung rein pflanzlich , feld direkt fabrik , tierhalt futt erstmal feld , haltung , schlachtung erst fabrik kommt",1
226,"Die Firma macht das schon „lange"" und hat vor einiger Zeit gesagt, dass sie auf dem Weg sind auf ein rein veganes Angebot umzustellen","firma macht schon „ lang '' zeit gesagt , rein vegan angebot umzustell",1
229,"Freut ihr euch auch so auf den Sommer wie wir?  Damit die Zeit ein wenig schneller vergeht, haben wir ein schnelles #Rezept mit unseren #veganen Mühlen Grillern und frischem #Melonensalat für euren nächsten Grillabend. Lasst es euch schmecken!  #RügenwalderMühle #VeganeMühlenGriller","freut somm ? zeit wenig schnell vergeht , schnell # rezept # vegan muhl grill frisch # melonensalat nach grillab . lasst schmeck ! # rugenwaldermuhl # veganemuhlengrill",1
240,Kann es sein dass es die vegane Teewurst nicht mehr gibt? Und wieder nur bei mir nicht mehr? ,vegan teewurst nicht mehr gibt ? nicht mehr ?,0
292,In vegan bitte ,vegan bitt,1
297,"Pur (aber vegan wäre mir lieber) und im Großpack, um Verpackung zu sparen. ","pur ( vegan war lieb ) grosspack , verpack spar .",1
302,Warum nicht direkt vegan wenn jetzt eh so viele Produkteveganisiert werden?,warum nicht direkt vegan eh viel produkteveganisiert ?,1
304,"Obwohl ich mich eige tlich vegan ernähre, musste ich die neue Sorten ausprobieren. Sie schmecken sehr lecker, besonders die im Teigmantel. ","obwohl eig tlich vegan ernahr , neu sort ausprobi . schmeck sehr leck , besond teigmantel .",1
305,Warum nicht vegan?,warum nicht vegan ?,1
307,"Wäre cool, wenn es die bald noch in vegan geben würde","war cool , bald vegan geb",1
311,"Wird es die in vegan geben ? :o Also, darf ich hoffen ?","vegan geb ? : o , darf hoff ?",1
313,"Ich warte bis sie in Vegan kommt und wenn sie so gut schmeckt wie sie aussieht, dann wird die als Dauersnack integriert haha. Warte schon laaaang auf eine vegane ""Bifi"" :D","wart vegan kommt gut schmeckt aussieht , dauersnack integriert haha . wart schon laaaang vegan `` bifi '' : d",1
314,Ich mag beide sehr gern. Aber vegan wäre noch schöner ,mag beid sehr gern . vegan war schon,1
326,Richtig lecker aber gerne auch in vegan ,richtig leck gern vegan,1
338,"Der Geschmack ist toll, die Konsistenz ist aber etwas anders als bei einer nicht vegetarischen Salami. Vielleicht kann man das irgendwann nochmal verbessern.  Aber sonst macht ihr wirklich einen tollen Job, ich bin sehr dankbar für die vegetarischen und veganen Produkte. ","geschmack toll , konsistenz nicht vegetar salami . vielleicht irgendwann nochmal verbess . macht wirklich toll job , sehr dankbar vegetar vegan produkt .",1
350,"Ich bin im Team ,,warten bis es eine vegane Variante gibt""","team , ,wart vegan variant gibt ''",1
351,Bidde auch vegan ‼,bidd vegan ‼,1
352,Bitte in vegan raus bringen,bitt vegan raus bring,1
357,Team vegan,team vegan,1
359,Team vegan ,team vegan,1
361,#teamvegan ,# teamvegan,1
366,Bitte noch in vegan. Danke! ,bitt vegan . dank !,1
370,#teamvegan,# teamvegan,1
376,Also ich bin #teamvegan ,# teamvegan,1
396,"wenns die in vegan gibt geh ich sicher, dass immer zwei Stück in meinem Fahrrad-Trikot landen ","wenn vegan gibt geh sich , imm zwei stuck fahrrad-trikot land",1
405,"Hab sie gesehen und war so aufgeregt und hab mich gefreut! Aber dann hab ich gesehen, dass sie leider nur vegetarisch ist. Sobald es eine vegane Variante gibt schlage ich zu ","geseh aufgeregt gefreut ! geseh , leid vegetar . sobald vegan variant gibt schlag",0
412,Bitte in vegan,bitt vegan,1
415,Jetzt bitte noch vegan ,bitt vegan,1
419,Leider nicht vegan :(,leid nicht vegan : (,0
425,Wann gibt es den auch in vegan? :-),wann gibt vegan ? : - ),1
589,Bitte vegan machen!!,bitt vegan ! !,1
590,Wieso sind die nicht vegan? :(,wieso nicht vegan ? : (,1
593,"Sie haben schonmal gesagt warum sie die nicht vegan machen, einfach Mal auf der insta Seite nach lesen  allerdings hab ich sie auch noch nicht im Laden gefunden ","schonmal gesagt warum nicht vegan , einfach insta seit les allerding nicht lad gefund",1
596,Wenn sie veganisiert wurden kaufe ich sie gerne. ,veganisiert wurd kauf gern .,1
599,"würde ich so gerne essen, macht es bitte vegan ","gern ess , macht bitt vegan",1
600,Bitte mehr von euren veganen Alternativen! ,bitt mehr vegan alternativ !,1
603,Macht es doch gleich vegan. Das ist automatisch vegetarisch und ihr müsst nicht 2 mal am Rezept basteln.,macht gleich vegan . automat vegetar musst nicht 2 rezept basteln .,0
609," hallöchen, ich habe mit großem Bedauern feststellen müssen, dass man die veganen Filets Typ Rind nirgends mehr bekommen kann. Darf ich fragen weshalb?","halloch , gross bedau feststell muss , vegan filet typ rind nirgend mehr bekomm . darf frag weshalb ?",1
624,Wird es eine vegane Variante geben ?,vegan variant geb ?,1
628,Warum nicht direkt vegan ,warum nicht direkt vegan,0
635,"Nicht vegan, aber ich habe sie Mal probiert. 1.: Gute Größe. Nicht zu klein wie oft bei veggi-sachen, also passt. 2.: Die Salami ist schön würzig und hat Biss. Topp. 3.: Warum ist der der Teigmantel so süß? Für meinen Geschmack viel zu süß. Jetzt noch die Sache in vegan und dem Teig etwas herzhaftes geben. ","nicht vegan , probiert . 1. : gut gross . nicht klein oft veggi-sach , passt . 2. : salami schon wurzig biss . topp . 3. : warum teigmantel suss ? geschmack suss . sach vegan teig herzhaft geb .",1
638,Wann macht ihr die vegan? ,wann macht vegan ?,1
640,"Die nehm ich, in vegan bitte. ","nehm , vegan bitt .",1
641,Leider nicht vegan ,leid nicht vegan,0
643,Leider nicht vegan!,leid nicht vegan !,0
645,B i t t e vegan ,b i t t e vegan,1
647,"Bitte in vegan  Auch Legehennenbetriebe sind Brutstätten für Vogelgrippeviren. Allein im letzten halben Jahr haben 2 Vogelgrippeviren den Sprung auf Menschen geschafft. Zu unserem Glück waren sie recht harmlos. Das nächste Mal kann es anders ausgehen. S. ""Spanische Grippe"", H5N1, H7N9. Mehr unter: metipan.de/influenza/","bitt vegan legehennenbetrieb brutstatt vogelgrippevir . allein letzt halb jahr 2 vogelgrippevir sprung mensch geschafft . gluck recht harmlos . nach ausgeh . s. `` spanisch gripp '' , h5n1 , h7n9 . mehr : metipan.de/influenza/",1
654,Gibt es die Rügenwürmer eigentlich in vegetarischer oder veganer Form? Der Penny bei uns hat die auf jeden Fall nicht ,gibt rugenwurm eigent vegetar vegan form ? penny fall nicht,0
661,"Ihr schreit alle Vegan, vegan, vegan... Aber sind die veganen Produkte auch wirklich frei von Pestizide, aus keinen Monokulturen? Die Überdüngung der Felder nicht vergessen. Wenn man es genau nimmt, dürften wir gar nichts essen und trinken. Denn auch wenn Bio drauf steht, muss es nicht immer Bio sein. Sigel sind käuflich. Traurig aber wahr.","schreit vegan , vegan , vegan ... vegan produkt wirklich frei pestizid , monokultur ? uberdung feld nicht vergess . genau nimmt , durft gar nicht ess trink . bio drauf steht , nicht imm bio . sigel kauflich . traurig wahr .",1
670,"Ihr alle mit eurem vegan, vegan, vegan. Seid froh, dass sie überhaupt für Euch Pflanzenesser was herausbringen.","vegan , vegan , vegan . seid froh , uberhaupt pflanzeness herausbring .",1
673,Eure veganen Produkte sind super !!! Danke dafür!!!!,vegan produkt sup ! ! ! dank dafur ! ! ! !,1
677,Wird es das auch in vegan geben?,vegan geb ?,1
693,Top Produkt und es geht immer weiter. Bald halt auch vegan. Da seid ihr der Bifi nun einen Schritt voraus.,top produkt geht imm . bald halt vegan . seid bifi schritt voraus .,1
698,"Danke. Dann gucke ich mal nächste Woche bei uns nach. Obwohl unser rewe echt lau ist, was vegane und vegetarische Produkte angeht.","dank . guck nach woch . obwohl rew echt lau , vegan vegetar produkt angeht .",1
709,Gibt es die vegane Teewurst nicht mehr? ,gibt vegan teewurst nicht mehr ?,0
742,Wenns jetzt noch vegan wäre. ...,wenn vegan war . ...,1
746,"Habe letztens die vegetarischen Mühlen Würstchen probiert, im Vergleich zu „echten“ Wiener Würstchen fehlt mir irgendwie das knackige, kann man daran noch arbeiten? Und wird es die bald auch als vegane Version geben? ","letzt vegetar muhl wurstch probiert , vergleich „ echt “ wien wurstch fehlt irgendwi knackig , daran arbeit ? bald vegan version geb ?",1
759,#snackvegan,# snackvegan,1
761,Bitte mehr auf vegan umstellen. Danke.,bitt mehr vegan umstell . dank .,1
762,Bitte vegan Würd ich feiern,bitt vegan wurd feiern,1
764,make it vegan pls,mak it vegan pls,1
770,Könnt ihr bitte den veganen Schinkenspicker auch mit Pilzen rausbringen? War immer meine Lieblingswurstsorte,konnt bitt vegan schinkenspick pilz rausbring ? imm lieblingswurstsort,1
779,Warum den nicht vegan? =(,warum nicht vegan ? = (,1
780,"Das geht doch bestimmt auch vegan, oder?!?","geht bestimmt vegan , ? ! ?",1
782,#snackvegan wäre auch toll ,# snackvegan war toll,1
786,Aber warum nicht vegan??,warum nicht vegan ? ?,1
791,Schinken Schinken Schinken  aber bitte den veganen aus dem Cordon Bleu ,schink schink schink bitt vegan cordon bleu,1
794,"Toller Anfang, jetzt noch in vegan  ","toll anfang , vegan",1
795,"Warum gibt’s den Mühlen Snack nicht auch in vegan? Eine Frage, die uns in den letzten Tagen oft erreicht hat.  Wir wollen euch sowohl geschmacklich als auch in Bezug auf Inhaltsstoffe nur das Beste bieten. Unseren hohen Ansprüchen können wir mit der #vegetarischen Rezeptur gerecht werden.  Aber wir haben euren Wunsch im Hinterkopf.  #RügenwalderMühle #MühlenSnack #snackveggie","warum gibt ’ s muhl snack nicht vegan ? frag , letzt tag oft erreicht . sowohl geschmack bezug inhaltsstoff best biet . hoh anspruch # vegetar rezeptur gerecht . wunsch hinterkopf . # rugenwaldermuhl # muhlensnack # snackveggi",1
797,Ich hoffe die gibt es bald auch in vegan 10 Wo.Antworten,hoff gibt bald vegan 10 wo.antwort,1
801,ich stelle es mir ehrlich gesagt einfacher vor vegane Produkte ungekühlt zu lagern… und Ei kann man geschmacklich ja easy ersetzen. Also echt …,stell ehrlich gesagt einfach vegan produkt ungekuhlt lagern… ei geschmack ja easy ersetz . echt …,1
803,Bin ja eig kein veganer/ vegetarier. Aber der Vegane Aufschnitt ist sehr lecker. Ich mag die Schinken Spieker mit grünen Pfeffer u esse sowas jetzt nur noch. Also da verzichte ich auf Fleisch. Bitte das Sortiment vergrößern zB Pfeffersalami,ja eig veganer/ vegetari . vegan aufschnitt sehr leck . mag schink spiek grun pfeff u ess sowas . verzicht fleisch . bitt sortiment vergross zb pfeffersalami,1
807,Mehr vegan bitte! ,mehr vegan bitt !,1
808,Bin großer Fan des veganen Aufschnitts. Bitte gestaltet doch Eure Verpackung umweltfreundlicher. viel zu viel Plastik. Und gerne auch eine große Packung.,gross fan vegan aufschnitt . bitt gestaltet verpack umweltfreund . plastik . gern gross packung .,1
811,"Die vegane salami zum beispiel schmeckt, leider, lamge nicht mehr so gut wie die vegetarische","vegan salami beispiel schmeckt , leid , lamg nicht mehr gut vegetar",0
814,"Ihr bemüht euch wirklich sehr und habt den vegetarischen/veganen Markt erst ins rollen gebracht. Macht weiter so! Euer veganer Salamiaufschnitt schmeckt klasse. Da dürfte das vegane ""Bifi"" nicht mehr lange auf sich warten lassen. Meiner Meinung nach, macht das Ei nicht all zu viel am Geschmack aus. Kann aber verstehen, dass da jeder anders den Geschmack wahrnimmt.","bemuht wirklich sehr habt vegetarischen/vegan markt erst roll gebracht . macht ! vegan salamiaufschnitt schmeckt klass . durft vegan `` bifi '' nicht mehr lang wart lass . meinung , macht ei nicht all geschmack . versteh , geschmack wahrnimmt .",1
819,"Dann solltet ihr es Mal mit Seitan probieren. Gibt schon seit Jahren Vegane Chorizo von Wheaty mittlerweile auch n Abklatsch bei DM die zeigen daß diese ""Art"" von Produkt mega leicht vegan umzusetzten ist und hat dabei auch noch ne viel bessere Konsistenz als die breiigen Hühnereiprodukte ;)",solltet seitan probi . gibt schon seit jahr vegan chorizo mittlerweil n abklatsch dm zeig `` art '' produkt mega leicht vegan umzusetzt dabei ne bess konsistenz breiig huhnereiprodukt ; ),1
820,Ein Umstieg auf komplett vegane und vegetarische Produkte wäre ein krasses Statement! ,umstieg komplett vegan vegetar produkt war krass statement !,1
821,"Es würde mich schon mal sehr freuen, wenn ich die vegane Teewurst ohne Probleme kaufen könnte ","schon sehr freu , vegan teewurst problem kauf",1
822,Ihr macht einen TOLLEN Job  danke für die leckeren veganen Produkte. ,macht toll job dank leck vegan produkt .,1
824,"Ihr habt selbst gesagt, ihr wollt auf komplett vegan umsteigen, bringt dann aber neue Produkte raus, die nur vegetarisch sind. Total doof. Wir Veganer sind wieder ausgeschlossen, Vegetarier hingegen können auch vegane Produkte essen. Ihr würdet so viel mehr Menschen miteinschließen. Ich ernähre mich zu 100% pflanzlich, für mich kommt vegetarisch also überhaupt nicht in frage.","habt gesagt , wollt komplett vegan umsteig , bringt neu produkt raus , vegetar . total doof . vegan ausgeschloss , vegetari hingeg vegan produkt ess . wurdet mehr mensch miteinschliess . ernahr 100 % pflanzlich , kommt vegetar uberhaupt nicht frag .",1
827,"Die Frage ist hier, warum dieser vegane Dreck überhaupt verkauft werden darf.","frag , warum vegan dreck uberhaupt verkauft darf .",1
829,Och bitte Leute...das geht vegan doch bestimmt im Handumdrehen,och bitt leut ... geht vegan bestimmt handumdreh,1
830,"Erst dick mit FLEISCH WERBEN und als sich VEGAN widererwartend doch verbreitet, so tun, als wäre VEGAN jetzt das Wahre. Anderen veganen Herstellern wieder zuvor kommen das ist nicht überzeugend, das ist Lobbyismus","erst dick fleisch werb vegan widererwart verbreitet , tun , war vegan wahr . vegan herstell zuvor komm nicht uberzeug , lobbyismus",1
834,"Aber bitte aufpassen. Die vegetarische Salami war die beste auf dem Markt. Die vegane jetzt schmeckt leider nicht ansatzweise so gut . Oder vielleicht beide Varianten anbieten? Wenn es gute vegane Artikel gibt kaufe ich sie gerne, vegetarisch esse ich seit über 20 Jahren und bin froh, dass es inzwischen so viele gute vegetarische und auch vegane Artikel gibt ","bitt aufpass . vegetar salami best markt . vegan schmeckt leid nicht ansatzweis gut . vielleicht beid variant anbiet ? gut vegan artikel gibt kauf gern , vegetar ess seit 20 jahr froh , inzwisch viel gut vegetar vegan artikel gibt",1
835,Go vegan ,go vegan,1
837,Die vegetarischen Bratwürstchen waren leider viel leckerer. In vegan sind es nun salzige Gummiwürste. Sehr schade.,vegetar bratwurstch leid leck . vegan salzig gummiwurst . sehr schad .,0
840,Bringt doch bitte den veganen panierten Tiefkühl Fisch zurück ,bringt bitt vegan paniert tiefkuhl fisch zuruck,1
843,warum gibt es das vegane Geschnetzelte nicht mehr? Wir mochten das super gerne und können es seit ein paar Wochen nirgendwo mehr finden.,warum gibt vegan geschnetzelt nicht mehr ? mocht sup gern seit paar woch nirgendwo mehr find .,1
846,gibt es eigentlich die veganen Mühlenfilets und die Steaks nicht mehr? Ich finde sie in mehreren verschiedenen Supermärkten nicht mehr.,gibt eigent vegan muhlenfilet steak nicht mehr ? find mehr verschied supermarkt nicht mehr .,0
848,"Das sollte die Frage des Jahres oder des Jahrzehnts werden, bis Rügenwalder endlich alle Rezepte auf vegan umgestellt hat!","frag jahr jahrzehnt , rugenwald endlich rezept vegan umgestellt !",1
851,"Eure vegane Salami ist wirklich mit Abstand die Beste  Mir wären aber auch vegane Snacks, die vielleicht nicht ganz super perfekt sind, lieber als gar keine. Man könnte ja später immer noch die Rezepte perfektionieren ","vegan salami wirklich abstand best war vegan snack , vielleicht nicht ganz sup perfekt , lieb gar . ja spat imm rezept perfektioni",1
854,"Spart euch den ""veganen Anstrich"", solange auch noch 1 nicht-veganea Produkt im Sortiment ist. Oder denkt ihr, nur jede dritte Kuh zu schlachten sei vegan? Hauptsache Geld ...","spart `` vegan anstrich '' , solang 1 nicht-veganea produkt sortiment . denkt , dritt kuh schlacht sei vegan ? hauptsach geld ...",1
857,Können wir Veganer uns nicht erstmal damit zufrieden geben das sie überhaupt vegane Ersatz Produkte machen und weiter daran arbeiten? Die haben so viel grundlosen hate von den ultra omnivoren bekommen dafür das sie ihre vegetarisch/vegane spate ausbauen und jetzt müssen wir auch noch rumheulen? Ich finde es gut das ihr an veganen Alternativen arbeitet und eurer Sortiment dahin gehend erweitert und meine Güte dann kommen halt auch mal ein paar neue Produkte die nicht vegan sind aber meine Güte die sind halt ein Unternehmen was profit machen will und keine tierschutz Organisation. Lieber zeigen das vegane Produkte noch mehr gefragt sind in dem wir die guten weiterhin kaufen! ,vegan nicht erstmal zufried geb uberhaupt vegan ersatz produkt daran arbeit ? grundlos hat ultra omnivor bekomm dafur vegetarisch/vegan spat ausbau muss rumheul ? find gut vegan alternativ arbeitet sortiment dahin gehend erweitert gut komm halt paar neu produkt nicht vegan gut halt unternehm profit tierschutz organisation . lieb zeig vegan produkt mehr gefragt gut weiterhin kauf !,1
858,Wieso nicht vegan? Werde es nicht essen,wieso nicht vegan ? nicht ess,0
859,Bitte in vegan!  Brauche die bis spätestens für mein Frühstück auf Festivals. ,bitt vegan ! brauch spatest fruhstuck festival .,1
860,Eure veganen Sachen sind voll lecker ,vegan sach voll leck,1
864,"Inhaltlich das Beste zu bieten, aus meiner Sicht ohne tierische Produkte.  Die vegane Salami schmeckt uns wirklich gut, wir vermissen allerdings eine deutlich schärfere Salami, z. B. für Pizza. Das sollte doch zu machen sein?","inhalt best biet , sicht tierisch produkt . vegan salami schmeckt wirklich gut , vermiss allerding deutlich scharf salami , z . b. pizza . ?",1
865,"Ich finde es echt toll, dass ein Unternehmen, das vor allem wegen seinen Fleischprodukte bekannt ist, so viele fleischlose und vor allem vegane Alternativen anbietet. Das ist ein guter Schritt für eine bessere Zukunft.","find echt toll , unternehm , weg fleischprodukt bekannt , viel fleischlos vegan alternativ anbietet . gut schritt bess zukunft .",1
869,Ohja.. Bitte in vegan.  War ganz traurig als ich die letztens an der Kasse entdeckt hab weil ich die nicht mitnehmen konnte.,ohja .. bitt vegan . ganz traurig letzt kass entdeckt nicht mitnehm konnt .,1
870,"Eure Salami in Scheiben schmeckt doch auch besser seit sie vegan ist, also warum nicht die kleinen Würste auch? Es ist mittlerweile offensichtlich, dass es ohne Eier besser geht","salami scheib schmeckt bess seit vegan , warum nicht klein wurst ? mittlerweil offensicht , eier bess geht",1
873,Ich hätte noch eine Frage (für nächsten Monat): wann kommt kompostierbare Verpackung? machen vor wie es geht. Dann würden noch mehr leute eure (veganen) Produkte gerne kaufen ,hatt frag ( nach monat ) : wann kommt kompostierbar verpack ? geht . mehr leut ( vegan ) produkt gern kauf,1
877,#vegan wäre ein Träumchen!,# vegan war traumch !,0
878,Wenn's einer schafft in vegan dann seit ihr das. Ihr hab mit Abstand die besten Produkte. Ich probieren immer wieder neue vegane Produkte auf dem Markt z.b Salamiaufschnitt und denke mir neeeee von Rügenwalder schmeckt Meilen besser. Ich bleibe dabei. Macht weiter so!!!!,'s schafft vegan seit . abstand best produkt . probi imm neu vegan produkt markt z.b salamiaufschnitt denk neeeee rugenwald schmeckt meil bess . bleib dabei . macht ! ! ! !,1
880,Von vegetarisch auf komplett vegan bitte!,vegetar komplett vegan bitt !,1
883,Habt ihr mal drüber nachgedacht den “Schinken” und den “Käse” aus dem veganen Cordon Bleu auch einzeln zu verkaufen?? ,habt drub nachgedacht “ schink ” “ kas ” vegan cordon bleu einzeln verkauf ? ?,1
884,ihr macht da ja auch echt einen megaguten Job! Um die vegane Bewegung aber noch etwas mehr zu unterstützen wäre es noch viiiel besser von euch die Produkte überhaupt erst dann rauszubringen wenn sie in vegan umzusetzen sind. Das wäre noch viel großartiger! ,macht ja echt megagut job ! vegan beweg mehr unterstutz war viiiel bess produkt uberhaupt erst rauszubring vegan umzusetz . war grossart !,1
885,"Schwache Antwort einer Firma die tolle vegane Produkte herstellen kann. Nein, Tierwohl hat oberste Priorität!","schwach antwort firma toll vegan produkt herstell . nein , tierwohl oberst prioritat !",1
890,"Ich versteh es nicht. Wo steckt denn das Ei drin? In der Wurst oder im Teig? Also in der Wurst bekommt ihr ja ohne hin ( wie zig andere Firmen auch) und den Teig bekomme ja selbst ich ohne Ei hin. Wo ist das Problem? Wird mir eigentlich immer unsympathischer. Eure Antworten hören sich immer toll an. Aber wenn ich dann sehe, dass ein neues Produkt dann doch nur vegetarisch ist, frage ich mich was soll das? Aber na ja, es geht halt wie immer nur ums Geld und die Vegetarier*innen sind halt in der Mehrzahl. Der eine oder andere kauft warscheinlich kein Produkt wo vegan drauf steht.","versteh nicht . steckt ei drin ? wurst teig ? wurst bekommt ja ( zig firm ) teig bekomm ja ei . probl ? eigent imm unsympath . antwort hor imm toll . seh , neu produkt vegetar , frag ? na ja , geht halt imm ums geld vegetari * inn halt mehrzahl . kauft warschein produkt vegan drauf steht .",0
892,Go vegan!! Gerade für Veganer fehlen solche Snacks einfach ,go vegan ! ! gerad vegan fehl snack einfach,1
893,Bitte bitte bald umstellen  Die vegane Bratwurst habt ihr hervorragend hinbekommen. Sehr authentischer Geschmack! Ihr versteht Euer Handwerk. Dankeschön ,bitt bitt bald umstell vegan bratwurst habt hervorrag hinbekomm . sehr authent geschmack ! versteht handwerk . dankeschon,1
897,"Hattet ihr nicht vor ein paar Jahren noch behauptet, dass neue Produkte nur noch vegan auf den Markt kommen? ","hattet nicht paar jahr behauptet , neu produkt vegan markt komm ?",1
899,Please vegan ,pleas vegan,1
900,Ihr schafft das schon. Bitte in vegan!,schafft schon . bitt vegan !,1
901, Yes bitte vegan! ,yes bitt vegan !,1
903,Ich finde ihr habt so tolle vegane Produkte und doch sind wir oft traurig wenn da nur vegetarisch steht. :( #govegan ,find habt toll vegan produkt oft traurig vegetar steht . : ( # govegan,1
906,"Ich als Neu-Vegetarierin finde die Snacks ganz großartig!! An die vegane Community da draußen… es gibt auch noch genug Vegetarier und Fleischesser, die ab und an auf Fleisch verzichten wollen und das ist doch toll! Nur, weil man nicht vegan is(s)t, ist es doch nicht falsch ","neu-vegetarierin find snack ganz grossart ! ! vegan community draussen… gibt genug vegetari fleischess , ab fleisch verzicht toll ! , nicht vegan is ( s ) t , nicht falsch",1
907,"Bekommt ihr auch vegan hin, da bin ich mir sicher ","bekommt vegan , sich",1
908,"Wenn ihr Hilfe bei der Veganisierung benötigt, dann kontaktiert mal ...Die machen nämlich unfassbar tolle vegane Alternativen! ","hilf veganisier benotigt , kontaktiert ... namlich unfassbar toll vegan alternativ !",1
909,Wenn es vegan wäre können es nicht nur Veganer*innen sondern auch Vegetarier*innen essen,vegan war nicht vegan * inn vegetari * inn ess,1
916,"Ich wollte einmal fragen, warum ihr erst immer an vegetarischen Varianten arbeitet und die Zeit und das Geld nicht gleich für vegane Proben investiert ? Weil ich hätte die z.B. auch gerne gekauft, weil ich dachte die sind vegan ","frag , warum erst imm vegetar variant arbeitet zeit geld nicht gleich vegan prob investiert ? hatt z.b . gern gekauft , dacht vegan",1
919,Zucker? … verarbeitete Lebensmittel sind auch in vegetarisch und vegan misst,zuck ? … verarbeitet lebensmittel vegetar vegan misst,1
920,Das in vegan und ich werde vermutlich nichts anderes mehr essen ,vegan vermut nicht mehr ess,1
