,comments,clean_comments,prediction
7619,"Entführe deine Freundinnen am nächsten #mädelsabend nach Vietnam: mit veganen Bánh-Mì-Sandwiches von  Lecker dazu, quick #mixedpickles  und feurige #toppings.  Jetzt mit Shabnam auf IGTV nachkochen!  #vegan #rügenwalder #rezeptideen #bánhmì #girlsjustwannahavebánh #dontworrybeflexi","entfuhr freundinn nach # madelsab vietnam : vegan bánh-mì-sandwich leck , quick # mixedpickl feurig # topping . shabnam igtv nachkoch ! # vegan # rugenwald # rezeptide # bánhmì # girlsjustwannahavebánh # dontworrybeflexi",1
7627,"Das vegane Hack ist echt lecker. Ich mag die Konsistenz von anderen Sojahack - Anbietern nicht so, zu fest. Das hier ist super. Gab bei uns gerade Taccos mit Hack, Kidney, Mais, Salat und Tomate ","vegan hack echt leck . mag konsistenz sojahack - anbiet nicht , fest . sup . gab gerad taccos hack , kidney , mais , salat tomat",1
7641,leudeeeeee die veganen hamburger sind sooooooooo geil,leudeeeee vegan hamburg sooooooooo geil,1
7646,Vielen Dank für Ihre Rezepte. Woher bekommen Sie vegetarische und vegane Produkte? Welcher Supermarkt?,viel dank rezept . woh bekomm vegetar vegan produkt ? supermarkt ?,1
7651,"Ich finds richtig cool, dass ihr die vegetarischen und veganen Produkte so pusht und das Sortiment stetig erweitert :) auch ""Fleischesser"" in meinem Umfeld finden die Sachen echt lecker und teilweise täuschend echt ","find richtig cool , vegetar vegan produkt pusht sortiment stetig erweitert : ) `` fleischess '' umfeld find sach echt leck teilweis tauschend echt",1
7652,"Finde es übrigens richtig klasse, dass ihr vegetarisch und vegan geht! Und das sage ich als Veganer :) Ich glaube, dass dadurch, dass so eine bekannte Marke wie ihr dem Normalverbraucher so etwas anbietet, dieser langsam vielleicht über Herkunft und Inhalt seines Essens nachdenkt. Vielen lieben Dank dafür!!!","find ubrig richtig klass , vegetar vegan geht ! sag vegan : ) glaub , dadurch , bekannt mark normalverbrauch anbietet , langsam vielleicht herkunft inhalt ess nachdenkt . viel lieb dank dafur ! ! !",1
7654,"könnte Ihr die bitte bitte in vegan machen  Sie haben so lecker geschmeckt genau wie die vegetarischen ,,Wiener""  Es würde ein Traum in Erfüllung gehen  Ihr seit ein super Beispiel für alle, ihr zeigt wie toll es ist auch einfach was veganes auf dem Markt zu bringen ","bitt bitt vegan leck geschmeckt genau vegetar , ,wien '' traum erfull geh seit sup beispiel , zeigt toll einfach vegan markt bring",1
7660,"Die vegetarischen Mühlen Würstchen schmecken sooo gut! Es wäre cool, wenn es die mal in vegan gäbe... Von den Mini-Salamis mag ich die Konsistenz nicht so gerne, geschmacklich sind sie aber top!","vegetar muhl wurstch schmeck sooo gut ! war cool , vegan gab ... mini-salamis mag konsistenz nicht gern , geschmack top !",1
7666,"Endlich da und mega-lecker!  Unser Fleisch aus Pflanzen in den drei Sorten „Veganes Mühlen Filet“, „Veganes Mühlen Steak“ und „Veganes Mühlen Geschnetzeltes“. = Und jetzt ran an die Pfannen, wir wünschen einen guten Appetit!  #veggie #vegan #neuprodukte","endlich mega-leck ! fleisch pflanz drei sort „ vegan muhl filet “ , „ vegan muhl steak “ „ vegan muhl geschnetzelt “ . = ran pfann , wunsch gut appetit ! # veggi # vegan # neuprodukt",1
7677,"Das #hähnchenfilet ist unschlagbar! Hab die Packung aus dem Müll gegriffen, um zu prüfen, ob es nicht doch echtes Huhn ist  Also wär dennoch ein Tierleben, seine Gesundheit, den Planeten etc. für den Geschmack zerstört, hat keine Ausrede mehr #govegan ","# hahnchenfilet unschlagbar ! packung mull gegriff , pruf , nicht echt huhn war dennoch tierleb , gesund , planet etc . geschmack zerstort , ausred mehr # govegan",1
7680,"Ich finde es echt gut, dass Sie jetzt auch vegane Sachen produzieren. Aber Fleisch kann man es dann doch auch nicht nennen..","find echt gut , vegan sach produzi . fleisch nicht nenn ..",1
7699,"Super, dass so viel vegan/ vegetarisch hergestellt wird ","sup , vegan/ vegetar hergestellt",1
7705,Ihr macht die besten vegetarischen und veganen Produkte ,macht best vegetar vegan produkt,1
7713,Wie wäre es mit veganen Frikadellen? ,war vegan frikadell ?,1
7715,"Hey liebes Rügenwalder Mühle Team, ich wollte mal ein großes Lob da lassen, dass ihr gerade so viele tolle vegane Sachen an den Start bringt! Wir haben die Hähnchen Filets und die Steaks bisher probiert und sind mega begeistert, vor allem vom ""Hähnchen"", das ist wirklich der Hammer!  Macht bitte so weiter, es ist einfach großartig! ","hey lieb rugenwald muhl team , gross lob lass , gerad viel toll vegan sach start bringt ! hahnch filet steak bish probiert mega begeistert , `` hahnch '' , wirklich hamm ! macht bitt , einfach grossart !",1
7721,"Die neuen Produkte sind echt lecker!Finde es super, wie viel vegane Produkte es mittlerweile in Eurem Sortiment gibt.","neu produkt echt leck ! find sup , vegan produkt mittlerweil sortiment gibt .",1
7734,"Habe bislang nur das „Hähnchen“, probiert und es hat mich echt überzeugt. Ob es wie Hähnchen schmeckt weiss ich gar nimmer (und ist mir persönlich auch nicht wichtig), aber der Geschmack und die Konsistenz sind der Burner! Die restlichen Produkte werden definitiv auch noch getestet! Als Liebhaber eurer veganen Produkte habt ihr mich ein weiteres Mal glücklich gemacht  Danke! Und ein großes Lob an eure Lebensmittel-Entwickler, Food-Designer oder wie auch immer ","bislang „ hahnch “ , probiert echt uberzeugt . hahnch schmeckt weiss gar nimm ( person nicht wichtig ) , geschmack konsistenz burn ! restlich produkt definitiv getestet ! liebhab vegan produkt habt weit glucklich gemacht dank ! gross lob lebensmittel-entwickl , food-design imm",1
7741,"die Hähnchenstücke sind der Hammer  sogar mein Freund ist eure Produkte sehr gerne ich liebe ja auch euren Hamburger und die Schnitzel die ja auch vegan sind, ich habe nur bei dem Steak was wir heute probiert haben das Gefühl es schmeckt nicht wie Steak. Von der Konsistenz schon ok aber es hat für mich eher wie Frikadelle (bzw wie euer Burger) geschmeckt vielleicht kann man da ja noch was rausfinden für den Geschmack. Mich stört es allerdings nicht, ich esse es auch so und bin dankbar für eure super Produkte!","hahnchenstuck hamm sogar freund produkt sehr gern lieb ja hamburg schnitzel ja vegan , steak heut probiert gefuhl schmeckt nicht steak . konsistenz schon ok eher frikadell ( bzw burg ) geschmeckt vielleicht ja rausfind geschmack . stort allerding nicht , ess dankbar sup produkt !",0
7743,"Oh mein Gott! Habe gerade die Filets probiert. Unglaublich, wie ihr das hinbekommen habt. Bin gespannt auf die anderen beiden Produkte und was auch immer ihr als nächstes veganisiert ","oh gott ! gerad filet probiert . unglaub , hinbekomm habt . gespannt beid produkt imm nach veganisiert",1
7746,"Habe heute das ""Typ Rind"" gekostet - schmeckt gut, habt ihr geschmacklich super hinbekommen  #veganfortheanimals ","heut `` typ rind '' gekostet - schmeckt gut , habt geschmack sup hinbekomm # veganfortheanimal",1
7750,Also ich hab grade das Steak probiert.. Mega lecker .. Ich liebe eure veganen Produkte ,grad steak probiert .. mega leck .. lieb vegan produkt,1
7751,Wie wäre es mit einer veganen Salami? ,war vegan salami ?,1
7756,Schmeckt alles super - nur die vegane Schinken Spicker könnte noch überarbeitet werden. Die Salami bitte auch veganisieren. ,schmeckt sup - vegan schink spick uberarbeitet . salami bitt veganisi .,1
